"PA SOLAR ALTER ENERGY CREDIT - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DA,IFED,01,006 ,   26325,    9395,   11111,    3876,   13054,   11338,   26325,   26325,       0,       0,   26325,    9395,   11111,    3876,   13054,   11338,   26325,   26325,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     550,    -950,      50,    1000,     500,    -500,     550,     550,       0,       0,  100.0,   35.7,   42.2,   14.7,   49.6,   43.1,  100.0,  100.0,    0.0,    0.0,  100.0,   35.7,   42.2,   14.7,   49.6,   43.1,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      7,      2,      2,     11,      6,     19,      9,     23,      7,      2,      2,     11,      6,     19,      9,      0,      0,      0,      0,      0,      0,      0,      0,    73.8,    76.1,    88.6,    99.6,    60.2,    70.9,    75.0,    82.3,    73.8,    76.1,    88.6,    99.6,    60.2,    70.9,    75.0,    82.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 PA SRECs)","0063DA","IFED","006 "
"CALIF CARBON CURRENT AUCTION - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DB,IFED,01,006 ,   35105,    2205,   33755,    1200,   31700,     150,   35105,   35105,       0,       0,   35105,    2205,   33755,    1200,   31700,     150,   35105,   35105,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,.,.,.,.,.,.,.,.,.,.,  100.0,    6.3,   96.2,    3.4,   90.3,    0.4,  100.0,  100.0,    0.0,    0.0,  100.0,    6.3,   96.2,    3.4,   90.3,    0.4,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      5,      9,      2,      8,      1,     15,     10,     22,      5,      9,      2,      8,      1,     15,     10,      0,      0,      0,      0,      0,      0,      0,      0,    86.7,    82.9,    94.6,    98.0,    86.7,    80.3,    93.1,    95.4,    86.7,    82.9,    94.6,    98.0,    86.7,    80.3,    93.1,    95.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063DB","IFED","006 "
"CT RECs CLASS 1 - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DK,IFED,01,006 ,   15114,    2151,    1991,     179,   12784,   12944,   15114,   15114,       0,       0,   15114,    2151,    1991,     179,   12784,   12944,   15114,   15114,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     100,       0,     200,       0,     100,    -100,     100,     100,       0,       0,  100.0,   14.2,   13.2,    1.2,   84.6,   85.6,  100.0,  100.0,    0.0,    0.0,  100.0,   14.2,   13.2,    1.2,   84.6,   85.6,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,      2,      5,      2,      9,     13,     11,     20,     26,      2,      5,      2,      9,     13,     11,     20,      0,      0,      0,      0,      0,      0,      0,      0,    84.1,    74.6,    97.1,    88.2,    81.5,    74.6,    92.6,    88.2,    84.1,    74.6,    97.1,    88.2,    81.5,    74.6,    92.6,    88.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of Class 1 Renewable Energy Cert","0063DK","IFED","006 "
"MASS COMPLIANCE RECs CLASS 1 - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DL,IFED,01,006 ,   16769,    1060,    6156,     240,   15469,   10373,   16769,   16769,       0,       0,   16769,    1060,    6156,     240,   15469,   10373,   16769,   16769,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     600,       0,     800,       0,     600,    -200,     600,     600,       0,       0,  100.0,    6.3,   36.7,    1.4,   92.2,   61.9,  100.0,  100.0,    0.0,    0.0,  100.0,    6.3,   36.7,    1.4,   92.2,   61.9,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      3,      4,      1,     12,     10,     15,     15,     25,      3,      4,      1,     12,     10,     15,     15,      0,      0,      0,      0,      0,      0,      0,      0,    74.2,    70.3,    91.1,    93.0,    74.2,    70.3,    88.8,    89.2,    74.2,    70.3,    91.1,    93.0,    74.2,    70.3,    88.8,    89.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of Class 1 Renewable Energy Cert","0063DL","IFED","006 "
"MARYLAND COMPLIANCE REC TIER1 - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DM,IFED,01,006 ,   17567,    2500,    9975,      25,   15042,    7567,   17567,   17567,       0,       0,   17567,    2500,    9975,      25,   15042,    7567,   17567,   17567,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     246,       0,     425,       0,     246,    -179,     246,     246,       0,       0,  100.0,   14.2,   56.8,    0.1,   85.6,   43.1,  100.0,  100.0,    0.0,    0.0,  100.0,   14.2,   56.8,    0.1,   85.6,   43.1,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      4,      2,      1,     10,      9,     15,     12,     22,      4,      2,      1,     10,      9,     15,     12,      0,      0,      0,      0,      0,      0,      0,      0,    60.3,    86.5,    86.1,    97.1,    58.6,    80.4,    81.1,    90.9,    60.3,    86.5,    86.1,    97.1,    58.6,    80.4,    81.1,    90.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(100 Tier 1 RECs)","0063DM","IFED","006 "
"MARYLAND SOLAR REC - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DN,IFED,01,006 ,   38266,   11739,   12707,    1605,   24922,   23954,   38266,   38266,       0,       0,   38266,   11739,   12707,    1605,   24922,   23954,   38266,   38266,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   30.7,   33.2,    4.2,   65.1,   62.6,  100.0,  100.0,    0.0,    0.0,  100.0,   30.7,   33.2,    4.2,   65.1,   62.6,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,      6,      3,      2,     15,      7,     22,     11,     26,      6,      3,      2,     15,      7,     22,     11,      0,      0,      0,      0,      0,      0,      0,      0,    38.7,    76.1,    66.7,    98.7,    37.7,    73.8,    62.2,    78.9,    38.7,    76.1,    66.7,    98.7,    37.7,    73.8,    62.2,    78.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063DN","IFED","006 "
"PA COMPLIANCE AECs TIER1 - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DT,IFED,01,006 ,   11822,    2905,     778,     581,    8336,   10463,   11822,   11822,       0,       0,   11822,    2905,     778,     581,    8336,   10463,   11822,   11822,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -75,      50,      25,     -50,     -75,     -50,     -75,     -75,       0,       0,  100.0,   24.6,    6.6,    4.9,   70.5,   88.5,  100.0,  100.0,    0.0,    0.0,  100.0,   24.6,    6.6,    4.9,   70.5,   88.5,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      3,      1,      2,     10,      8,     14,     10,     20,      3,      1,      2,     10,      8,     14,     10,      0,      0,      0,      0,      0,      0,      0,      0,    68.9,    84.3,    87.9,    99.4,    68.9,    80.5,    85.1,    92.7,    68.9,    84.3,    87.9,    99.4,    68.9,    80.5,    85.1,    92.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(100 AECs)","0063DT","IFED","006 "
"CALIF CARBON 23 - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DX,IFED,01,006 ,   46084,   15396,    7338,    1090,   29571,   37645,   46057,   46073,      27,      11,   46084,   15396,    7338,    1090,   29571,   37645,   46057,   46073,      27,      11,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1269,    -197,     864,       0,    1519,     405,    1322,    1269,     -53,       0,  100.0,   33.4,   15.9,    2.4,   64.2,   81.7,   99.9,  100.0,    0.1,    0.0,  100.0,   33.4,   15.9,    2.4,   64.2,   81.7,   99.9,  100.0,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     50,     18,     10,      3,     14,     13,     34,     24,     50,     18,     10,      3,     14,     13,     34,     24,      0,      0,      0,      0,      0,      0,      0,      0,    51.5,    70.0,    71.0,    87.7,    48.9,    61.5,    66.2,    74.8,    51.5,    70.0,    71.0,    87.7,    48.9,    61.5,    66.2,    74.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063DX","IFED","006 "
"RGGI V2022-ICE - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063DZ,IFED,01,006 ,   67845,   12149,   11799,     472,   55125,   55507,   67746,   67778,      99,      67,   67845,   12149,   11799,     472,   55125,   55507,   67746,   67778,      99,      67,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2893,     150,      37,     181,    2710,    2675,    3040,    2893,    -147,       0,  100.0,   17.9,   17.4,    0.7,   81.3,   81.8,   99.9,   99.9,    0.1,    0.1,  100.0,   17.9,   17.4,    0.7,   81.3,   81.8,   99.9,   99.9,    0.1,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     57,     20,     14,      6,     17,     13,     41,     29,     57,     20,     14,      6,     17,     13,     41,     29,      0,      0,      0,      0,      0,      0,      0,      0,    48.5,    80.8,    77.1,    94.8,    44.6,    70.9,    66.5,    80.7,    48.5,    80.8,    77.1,    94.8,    44.6,    70.9,    66.5,    80.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 RGGI CO2 Allowances","0063DZ","IFED","006 "
"CBL NATURE GLOBAL EMISSIONS - NEW YORK MERCANTILE EXCHANGE",220426,2022-04-26,00665T,NYME,01,006 ,   17920,   11438,    1687,    2150,    4112,   14026,   17700,   17863,     220,      57,   17920,   11438,    1687,    2150,    4112,   14026,   17700,   17863,     220,      57,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     808,     810,     611,      51,      -7,     156,     854,     818,     -46,     -10,  100.0,   63.8,    9.4,   12.0,   22.9,   78.3,   98.8,   99.7,    1.2,    0.3,  100.0,   63.8,    9.4,   12.0,   22.9,   78.3,   98.8,   99.7,    1.2,    0.3,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,     23,      6,      6,     11,     14,     35,     25,     47,     23,      6,      6,     11,     14,     35,     25,      0,      0,      0,      0,      0,      0,      0,      0,    46.4,    64.5,    70.7,    83.4,    36.7,    59.5,    57.4,    71.9,    46.4,    64.5,    70.7,    83.4,    36.7,    59.5,    57.4,    71.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 ENVIRONMENTAL OFFSET","00665T","NYME","006 "
"TX GREEN-E REC V22 FRONT HALF - NODAL EXCHANGE",220426,2022-04-26,006NFF,NODX,01,006 ,    2584,     522,    1988,       0,    2062,     584,    2584,    2572,       0,      12,    2584,     522,    1988,       0,    2062,     584,    2584,    2572,       0,      12,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   20.2,   76.9,    0.0,   79.8,   22.6,  100.0,   99.5,    0.0,    0.5,  100.0,   20.2,   76.9,    0.0,   79.8,   22.6,  100.0,   99.5,    0.0,    0.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      6,      5,      0,     11,      4,     17,      9,     24,      6,      5,      0,     11,      4,     17,      9,      0,      0,      0,      0,      0,      0,      0,      0,    50.4,    88.4,    78.3,    99.1,    49.0,    82.6,    73.0,    89.4,    50.4,    88.4,    78.3,    99.1,    49.0,    82.6,    73.0,    89.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1000 Texas Green-e RECs","006NFF","NODX","006 "
"TX GREEN-E REC V23 FRONT HALF - NODAL EXCHANGE",220426,2022-04-26,006NFG,NODX,01,006 ,    3166,     428,    1865,       0,    2721,    1277,    3149,    3142,      17,      24,    3166,     428,    1865,       0,    2721,    1277,    3149,    3142,      17,      24,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      70,    -190,      50,       0,     272,      20,      82,      70,     -12,       0,  100.0,   13.5,   58.9,    0.0,   85.9,   40.3,   99.5,   99.2,    0.5,    0.8,  100.0,   13.5,   58.9,    0.0,   85.9,   40.3,   99.5,   99.2,    0.5,    0.8,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      3,      7,      0,     11,      5,     14,     12,     24,      3,      7,      0,     11,      5,     14,     12,      0,      0,      0,      0,      0,      0,      0,      0,    63.4,    81.8,    86.3,    95.6,    58.7,    81.8,    81.6,    92.4,    63.4,    81.8,    86.3,    95.6,    58.7,    81.8,    81.6,    92.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1000 Texas Green-e RECs","006NFG","NODX","006 "
"TX GREEN-E REC V24 FRONT HALF - NODAL EXCHANGE",220426,2022-04-26,006NFH,NODX,01,006 ,    4420,     175,    2082,       0,    3978,    2088,    4153,    4170,     267,     250,    4420,     175,    2082,       0,    3978,    2088,    4153,    4170,     267,     250,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     110,      75,       0,       0,      45,     110,     120,     110,     -10,       0,  100.0,    4.0,   47.1,    0.0,   90.0,   47.2,   94.0,   94.3,    6.0,    5.7,  100.0,    4.0,   47.1,    0.0,   90.0,   47.2,   94.0,   94.3,    6.0,    5.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,      2,     10,      0,      9,      7,     11,     17,     26,      2,     10,      0,      9,      7,     11,     17,      0,      0,      0,      0,      0,      0,      0,      0,    83.2,    67.8,    91.7,    85.2,    82.1,    67.8,    90.6,    84.1,    83.2,    67.8,    91.7,    85.2,    82.1,    67.8,    90.6,    84.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1000 Texas Green-e RECs","006NFH","NODX","006 "
"TX GREEN-E REC V25 FRONT HALF - NODAL EXCHANGE",220426,2022-04-26,006NFJ,NODX,01,006 ,    2462,     100,    1780,       0,    2345,     682,    2445,    2462,      17,       0,    2462,     100,    1780,       0,    2345,     682,    2445,    2462,      17,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,    4.1,   72.3,    0.0,   95.2,   27.7,   99.3,  100.0,    0.7,    0.0,  100.0,    4.1,   72.3,    0.0,   95.2,   27.7,   99.3,  100.0,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      3,      7,      0,     11,      3,     14,     10,     23,      3,      7,      0,     11,      3,     14,     10,      0,      0,      0,      0,      0,      0,      0,      0,    77.1,    79.3,    90.2,    97.5,    77.1,    79.3,    89.0,    97.5,    77.1,    79.3,    90.2,    97.5,    77.1,    79.3,    89.0,    97.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1000 Texas Green-e RECs","006NFJ","NODX","006 "
